SNR	delphi
6.17320875323925	44.1044165806956
7.15421959548477	38.6051524518330
8.11644255617948	28.4622546449481
9.07204149167581	22.1654891114396
9.96265556045312	20.7263741235519
11.1201040723881	15.5486038171518
12.1128144324683	13.8399485500254
13.1152008998930	12.0712705436073
14.1417609980813	10.4183780593282
15.0048885697049	9.76195081001846
15.9824469908063	8.20860322412771
17.0931653937366	7.87994997770405
18.0022264102201	6.64560718736478
19.0585206488845	5.97724655696159
20.0537443048140	5.40585781354448
21.0219234914198	4.90112283148649
22.0527515509904	4.30070993552059
22.9974979887801	3.95466510770846
24.0483387841776	3.46187320749677
25.0363391596355	3.03861697704161
