,cc,NZ,N,Z,A,el,o,mass,mass_err,binding,binding_err,B,beta,beta_err,u,atomic_mass,atomic_mass_err,umass,umass_err,precision,abundancy,halflife
869,,2,42,40,82,Zr,x,-63614.063,1.584,8465.4666,0.0193,B-,-11804.0,300.0,81,931707.497,1.7,81.931707497,1.6999999999999998e-06,2.0748987808685015e-08,0.0,32.0
870,,0,41,41,82,Nb,x,-51810.0,300.0,8312.0,4.0,B-,-11440.0,500.0,81,944380.0,322.0,81.94438,0.00032199999999999997,3.929494615738138e-06,0.0,0.05
871,,-2,40,42,82,Mo,x,-40370.0,400.0,8163.0,5.0,B-,,,81,956661.0,429.0,81.956661,0.00042899999999999997,5.234473864180484e-06,0.0,0.0
872,0,25,54,29,83,Cu,x,-20390.0,500.0,8044.0,6.0,B-,15900.0,583.0,82,978110.0,537.0,82.97811,0.0005369999999999999,6.4715863014956585e-06,0.0,0.0
873,,23,53,30,83,Zn,x,-36290.0,300.0,8226.0,4.0,B-,12967.0,300.0,82,961041.0,322.0,82.961041,0.00032199999999999997,3.8813399171305e-06,0.0,0.119
874,,21,52,31,83,Ga,x,-49257.129,2.612,8372.5756,0.0315,B-,11719.3136,3.5592,82,947120.3,2.804,82.9471203,2.8039999999999998e-06,3.380466964806734e-08,0.0,0.3081
875,,19,51,32,83,Ge,x,-60976.442,2.427,8504.3462,0.0292,B-,8692.8893,3.6979,82,934539.1,2.604,82.9345391,2.604e-06,3.1398257327507116e-08,0.0,1.85
876,,17,50,33,83,As,x,-69669.331,2.799,8599.654,0.0337,B-,5671.2117,4.129,82,925206.9,3.004,82.9252069,3.004e-06,3.622541459103673e-08,0.0,13.4
877,,15,49,34,83,Se,-n,-75340.543,3.036,8658.556,0.0366,B-,3673.178,4.8392,82,919118.604,3.259,82.919118604,3.2589999999999996e-06,3.930336036932725e-08,0.0,1335.0
878,,13,48,35,83,Br,,-79013.721,3.795,8693.3852,0.0457,B-,976.9222,3.7947,82,915175.285,4.073,82.915175285,4.073e-06,4.9122491582512964e-08,0.0,8546.4
879,,11,47,36,83,Kr,,-79990.643,0.009,8695.7295,0.0003,B-,-920.0039,2.3288,82,914126.516,0.009,82.914126516,9e-09,1.0854603887388555e-10,11.5,inf
880,,9,46,37,83,Rb,,-79070.639,2.329,8675.2193,0.0281,B-,-2273.0239,6.4245,82,915114.181,2.5,82.915114181,2.4999999999999998e-06,3.0151318305401003e-08,0.0,7447680.0
881,,7,45,38,83,Sr,,-76797.616,6.834,8638.4076,0.0823,B-,-4591.9435,19.8444,82,917554.372,7.336,82.917554372,7.336e-06,8.847342466334554e-08,0.0,116676.0
882,,5,44,39,83,Y,x,-72205.672,18.631,8573.6571,0.2245,B-,-6294.0125,19.7074,82,922484.026,20.0,82.922484026,1.9999999999999998e-05,2.411891085381509e-07,0.0,424.8
883,,3,43,40,83,Zr,x,-65911.659,6.43,8488.3997,0.0775,B-,-8298.7493,162.2075,82,929240.926,6.902,82.929240926,6.902e-06,8.322757959594543e-08,0.0,42.0
884,,1,42,41,83,Nb,x,-57612.91,162.08,8378.9889,1.9528,B-,-11273.0,432.0,82,938150.0,174.0,82.93815,0.000174,2.0979488932415303e-06,0.0,3.9
885,,-1,41,42,83,Mo,x,-46340.0,401.0,8234.0,5.0,B-,-15020.0,641.0,82,950252.0,430.0,82.950252,0.00043,5.183829941830676e-06,0.0,0.023
886,,-3,40,43,83,Tc,x,-31320.0,500.0,8043.0,6.0,B-,,,82,966377.0,537.0,82.966377,0.0005369999999999999,6.472501505037396e-06,0.0,0.0
887,0,26,55,29,84,Cu,x,-13720.0,500.0,7965.0,6.0,B-,18110.0,640.0,83,985271.0,537.0,83.985271,0.0005369999999999999,6.393978296503919e-06,0.0,0.0
888,,24,54,30,84,Zn,x,-31830.0,400.0,8171.0,5.0,B-,12264.0,401.0,83,965829.0,429.0,83.965829,0.00042899999999999997,5.1092212761931996e-06,0.0,0.05
889,,22,53,31,84,Ga,x,-44094.136,29.808,8307.525,0.3549,B-,14054.2989,29.976,83,952663.0,32.0,83.952663,3.2e-05,3.8116718227270523e-07,0.0,0.085
890,,20,52,32,84,Ge,x,-58148.435,3.171,8465.5244,0.0377,B-,7705.1329,4.4789,83,937575.09,3.403,83.93757509,3.403e-06,4.054203372388608e-08,0.0,0.951
891,,18,51,33,84,As,x,-65853.568,3.171,8547.9385,0.0377,B-,10094.1624,3.7219,83,929303.29,3.403,83.92930329000001,3.403e-06,4.054602941527646e-08,0.0,4.02
892,,16,50,34,84,Se,,-75947.731,1.961,8658.7935,0.0233,B-,1835.3638,25.7652,83,918466.761,2.105,83.918466761,2.1049999999999998e-06,2.508387106255224e-08,0.0,195.6
893,,14,49,35,84,Br,,-77783.094,25.73,8671.3294,0.3063,B-,4656.251,25.73,83,916496.417,27.622,83.916496417,2.7621999999999997e-05,3.291605486332514e-07,0.0,1905.6
894,,12,48,36,84,Kr,,-82439.34527,0.00382,8717.4473,0.0003,B-,-2680.3708,2.194,83,911497.72708,0.0041,83.91149772708,4.1e-09,4.8861003689090917e-11,56.987,inf
895,,10,47,37,84,Rb,,-79758.975,2.194,8676.2244,0.0261,B-,890.6058,2.3356,83,914375.223,2.355,83.914375223,2.355e-06,2.8064321443634137e-08,0.0,2835648.0
896,,8,46,38,84,Sr,,-80649.58,1.243,8677.5132,0.0148,B-,-6755.1411,4.4114,83,913419.118,1.334,83.913419118,1.334e-06,1.5897338161422244e-08,0.56,inf
897,,6,45,39,84,Y,,-73894.439,4.299,8587.7812,0.0512,B-,-2472.7471,6.9767,83,920671.06,4.615,83.92067106,4.615e-06,5.499241059095506e-08,0.0,2370.0
898,,4,44,40,84,Zr,x,-71421.692,5.499,8549.0301,0.0655,B-,-10227.8497,5.5133,83,923325.663,5.903,83.923325663,5.902999999999999e-06,7.033801333974669e-08,0.0,1548.0
899,,2,43,41,84,Nb,x,-61193.842,0.401,8417.9563,0.0048,B-,-7024.0,298.0,83,934305.711,0.43,83.934305711,4.2999999999999996e-07,5.1230542310144634e-09,0.0,9.8
900,,0,42,42,84,Mo,x,-54170.0,298.0,8325.0,4.0,B-,-16470.0,499.0,83,941846.0,320.0,83.941846,0.00031999999999999997,3.812163006279371e-06,0.0,2.3
901,,-2,41,43,84,Tc,x,-37700.0,400.0,8120.0,5.0,B-,,,83,959527.0,429.0,83.959527,0.00042899999999999997,5.109604774214604e-06,0.0,0.0
902,0,25,55,30,85,Zn,x,-25100.0,500.0,8090.0,6.0,B-,14644.0,502.0,84,973054.0,537.0,84.973054,0.0005369999999999999,6.3196504623689285e-06,0.0,0.05
903,,23,54,31,85,Ga,x,-39744.059,37.26,8253.5687,0.4384,B-,13379.3679,37.4459,84,957333.0,40.0,84.957333,3.9999999999999996e-05,4.7082457261223106e-07,0.0,0.0922
904,,21,53,32,85,Ge,x,-53123.427,3.729,8401.7689,0.0439,B-,10065.7253,4.8303,84,942969.658,4.003,84.942969658,4.003e-06,4.712573643371549e-08,0.0,0.494
905,,19,52,33,85,As,x,-63189.152,3.078,8510.9851,0.0362,B-,9224.4929,4.0313,84,932163.658,3.304,84.932163658,3.3039999999999996e-06,3.890163464225825e-08,0.0,2.021
906,,17,51,34,85,Se,+3p,-72413.645,2.613,8610.3045,0.0307,B-,6161.8335,4.0313,84,922260.758,2.804,84.922260758,2.8039999999999998e-06,3.3018433270287764e-08,0.0,32.9
907,,15,50,35,85,Br,+n2p,-78575.478,3.078,8673.5926,0.0362,B-,2904.8622,3.6705,84,915645.758,3.304,84.915645758,3.3039999999999996e-06,3.8909201837974905e-08,0.0,174.0
908,,13,49,36,85,Kr,+,-81480.341,2.0,8698.5633,0.0235,B-,687.0,2.0,84,912527.26,2.147,84.91252726,2.1469999999999995e-06,2.5284843936230282e-08,0.0,340044480.0
909,,11,48,37,85,Rb,,-82167.34065,0.005,8697.4416,0.0003,B-,-1064.051,2.8132,84,911789.73604,0.00537,84.91178973604,5.3699999999999994e-09,6.324210120518463e-11,72.17,inf
910,,9,47,38,85,Sr,,-81103.29,2.813,8675.7193,0.0331,B-,-3261.1584,19.1729,84,912932.041,3.02,84.912932041,3.02e-06,3.556584288647341e-08,0.0,5603299.199999999
911,,7,46,39,85,Y,x,-77842.131,18.965,8628.1486,0.2231,B-,-4666.9352,20.0257,84,916433.039,20.36,84.916433039,2.0359999999999998e-05,2.3976513463123395e-07,0.0,9648.0
912,,5,45,40,85,Zr,x,-73175.196,6.43,8564.0394,0.0756,B-,-6895.512,7.625,84,921443.199,6.902,84.921443199,6.902e-06,8.127511427032926e-08,0.0,471.6
913,,3,44,41,85,Nb,x,-66279.684,4.099,8473.7117,0.0482,B-,-8769.9238,16.3572,84,928845.836,4.4,84.928845836,4.4e-06,5.18080748265027e-08,0.0,20.5
914,,1,43,42,85,Mo,x,-57509.76,15.835,8361.332,0.1863,B-,-11660.0,400.0,84,938260.736,17.0,84.938260736,1.7e-05,2.0014537444836996e-07,0.0,3.2
915,,-1,42,43,85,Tc,x,-45850.0,400.0,8215.0,5.0,B-,-15220.0,640.0,84,950778.0,429.0,84.950778,0.00042899999999999997,5.049983179671409e-06,0.0,0.0
916,,-3,41,44,85,Ru,x,-30630.0,500.0,8027.0,6.0,B-,,,84,967117.0,537.0,84.967117,0.0005369999999999999,6.32009204219557e-06,0.0,0.0
917,0,26,56,30,86,Zn,x,-20062.0,500.0,8032.0,6.0,B-,13699.0,640.0,85,978463.0,537.0,85.978463,0.0005369999999999999,6.245750171179495e-06,0.0,0.0
918,,24,55,31,86,Ga,x,-33760.0,400.0,8182.0,5.0,B-,15640.0,593.0,85,963757.0,429.0,85.963757,0.00042899999999999997,4.990475230160077e-06,0.0,0.047
919,,22,54,32,86,Ge,x,-49399.927,437.802,8354.63,5.0907,B-,9562.2229,437.8158,85,946967.0,470.0,85.946967,0.00047,5.468488492444416e-06,0.0,0.226
920,,20,53,33,86,As,x,-58962.15,3.45,8456.7215,0.0401,B-,11541.0256,4.2666,85,936701.532,3.703,85.936701532,3.7029999999999995e-06,4.308985490467218e-08,0.0,0.945
921,,18,52,34,86,Se,x,-70503.175,2.52,8581.8224,0.0293,B-,5129.086,3.9717,85,924311.732,2.705,85.924311732,2.705e-06,3.1481194850148584e-08,0.0,14.3
922,,16,51,35,86,Br,+pp,-75632.261,3.078,8632.3659,0.0358,B-,7633.4147,3.0779,85,918805.432,3.304,85.918805432,3.3039999999999996e-06,3.845491081245227e-08,0.0,55.1
923,,14,50,36,86,Kr,,-83265.67593,0.00372,8712.0295,0.0003,B-,-518.6734,0.2,85,910610.62468,0.00399,85.91061062468,3.99e-09,4.644362286552962e-11,17.279,inf
924,,12,49,37,86,Rb,-n,-82747.003,0.2,8696.9014,0.0023,B-,1776.0972,0.2001,85,911167.443,0.214,85.911167443,2.1399999999999998e-07,2.4909450816389368e-09,0.0,1610668.8
925,,10,48,38,86,Sr,,-84523.09977,0.00524,8708.4566,0.0003,B-,-5240.0,14.1421,85,909260.72473,0.00563,85.90926072473,5.629999999999999e-09,6.553426199347257e-11,9.86,inf
926,,8,47,39,86,Y,-,-79283.1,14.142,8638.4293,0.1644,B-,-1314.0763,14.5847,85,914886.095,15.182,85.914886095,1.5182e-05,1.7670977277689191e-07,0.0,53064.0
927,,6,46,40,86,Zr,,-77969.023,3.566,8614.0523,0.0415,B-,-8834.9627,6.5521,85,916296.814,3.827,85.916296814,3.827e-06,4.454335372816479e-08,0.0,59400.0
928,,4,45,41,86,Nb,x,-69134.061,5.499,8502.2231,0.0639,B-,-5023.1337,6.2316,85,925781.536,5.903,85.925781536,5.902999999999999e-06,6.869882233805277e-08,0.0,88.0
929,,2,44,42,86,Mo,x,-64110.927,2.932,8434.7175,0.0341,B-,-12541.0,300.0,85,931174.092,3.147,85.931174092,3.1469999999999997e-06,3.6622332154227814e-08,0.0,19.1
930,,0,43,43,86,Tc,x,-51570.0,300.0,8280.0,3.0,B-,-11800.0,500.0,85,944637.0,322.0,85.944637,0.00032199999999999997,3.7465979407185114e-06,0.0,0.055
931,,-2,42,44,86,Ru,x,-39770.0,400.0,8133.0,5.0,B-,,,85,957305.0,429.0,85.957305,0.00042899999999999997,4.990849817825256e-06,0.0,0.0
932,0,25,56,31,87,Ga,x,-28870.0,500.0,8124.0,6.0,B-,14720.0,583.0,86,969007.0,537.0,86.969007,0.0005369999999999999,6.174613445914128e-06,0.0,0.01
933,,23,55,32,87,Ge,x,-43590.0,300.0,8285.0,3.0,B-,12028.0,300.0,86,953204.0,322.0,86.953204,0.00032199999999999997,3.703141289652765e-06,0.0,0.15
934,,21,54,33,87,As,x,-55617.914,2.985,8413.8521,0.0343,B-,10808.2192,3.726,86,940291.716,3.204,86.940291716,3.204e-06,3.685287841529469e-08,0.0,0.492
935,,19,53,34,87,Se,x,-66426.133,2.241,8529.092,0.0258,B-,7465.5526,3.8766,86,928688.616,2.405,86.928688616,2.405e-06,2.7666355472401986e-08,0.0,5.5
936,,17,52,35,87,Br,2p-n,-73891.685,3.171,8605.9105,0.0364,B-,6817.8455,3.1805,86,920674.016,3.404,86.920674016,3.404e-06,3.9162144547721815e-08,0.0,55.65
937,,15,51,36,87,Kr,-n,-80709.531,0.246,8675.284,0.0028,B-,3888.2706,0.2463,86,913354.759,0.264,86.913354759,2.64e-07,3.0375078804867146e-09,0.0,4578.0
938,,13,50,37,87,Rb,,-84597.802,0.006,8710.9843,0.0003,B-,282.2749,0.0063,86,909180.529,0.006,86.909180529,6e-09,6.903758571279947e-11,27.83,0.0
939,,11,49,38,87,Sr,,-84880.07643,0.00513,8705.2363,0.0003,B-,-1861.6894,1.1278,86,908877.49454,0.0055,86.90887749454,5.5e-09,6.328467423072556e-11,7.0,inf
940,,9,48,39,87,Y,-,-83018.387,1.128,8674.8451,0.013,B-,-3671.2405,4.2962,86,910876.1,1.21,86.9108761,1.2099999999999998e-06,1.3922308165525441e-08,0.0,287280.0
941,,7,47,40,87,Zr,,-79347.147,4.146,8623.6545,0.0477,B-,-5472.6536,7.9633,86,914817.338,4.45,86.914817338,4.45e-06,5.119955533812548e-08,0.0,6048.0
942,,5,46,41,87,Nb,x,-73874.493,6.802,8551.7579,0.0782,B-,-6989.6757,7.3781,86,920692.473,7.302,86.920692473,7.301999999999999e-06,8.400761420841423e-08,0.0,222.0
943,,3,45,42,87,Mo,,-66884.817,2.857,8462.4243,0.0328,B-,-9194.7656,5.0729,86,928196.198,3.067,86.928196198,3.067e-06,3.5281992887718106e-08,0.0,14.1
944,,1,44,43,87,Tc,x,-57690.052,4.192,8347.7449,0.0482,B-,-11960.0,400.0,86,938067.185,4.5,86.938067185,4.5e-06,5.1760985097865334e-08,0.0,2.2
945,,-1,43,44,87,Ru,x,-45730.0,400.0,8201.0,5.0,B-,,,86,950907.0,429.0,86.950907,0.00042899999999999997,4.933818574198426e-06,0.0,0.05
946,0,26,57,31,88,Ga,x,-22390.0,500.0,8050.0,6.0,B-,17129.0,640.0,87,975963.0,537.0,87.975963,0.0005369999999999999,6.103940004612396e-06,0.0,0.0
947,,24,56,32,88,Ge,x,-39520.0,400.0,8236.0,5.0,B-,10930.0,447.0,87,957574.0,429.0,87.957574,0.00042899999999999997,4.877351437637423e-06,0.0,0.1
948,,22,55,33,88,As,x,-50450.0,200.0,8351.0,2.0,B-,13434.0,200.0,87,945840.0,215.0,87.94584,0.000215,2.444686411546015e-06,0.0,0.27
949,,20,54,34,88,Se,x,-63884.203,3.357,8495.0045,0.0382,B-,6831.764,4.6125,87,931417.49,3.604,87.93141749,3.604e-06,4.098648813900748e-08,0.0,1.53
950,,18,53,35,88,Br,++,-70715.967,3.171,8563.7479,0.036,B-,8975.3282,4.1059,87,924083.29,3.404,87.92408329,3.404e-06,3.871521740832471e-08,0.0,16.34
951,,16,52,36,88,Kr,x,-79691.295,2.608,8656.8499,0.0296,B-,2917.709,2.613,87,914447.879,2.8,87.914447879,2.8e-06,3.184914502168912e-08,0.0,10170.0
952,,14,51,37,88,Rb,,-82609.004,0.159,8681.1154,0.0018,B-,5312.6243,0.159,87,911315.59,0.17,87.91131559,1.7000000000000001e-07,1.933766988459648e-09,0.0,1066.38
953,,12,50,38,88,Sr,,-87921.62876,0.00561,8732.5958,0.0003,B-,-3622.6,1.5,87,905612.253,0.006,87.905612253,6e-09,6.825502770780411e-11,82.58,inf
954,,10,49,39,88,Y,-,-84299.029,1.5,8682.5396,0.017,B-,-670.1549,5.6076,87,909501.274,1.61,87.909501274,1.61e-06,1.8314288861472265e-08,0.0,9212486.4
955,,8,48,40,88,Zr,,-83628.874,5.403,8666.0339,0.0614,B-,-7457.3187,57.8921,87,910220.715,5.8,87.910220715,5.7999999999999995e-06,6.597640129699224e-08,0.0,7205760.0
956,,6,47,41,88,Nb,,-76171.555,57.808,8572.4013,0.6569,B-,-3485.0021,57.9345,87,918226.476,62.059,87.918226476,6.2059e-05,7.058718366770163e-07,0.0,870.0
957,,4,46,42,88,Mo,x,-72686.553,3.819,8523.9087,0.0434,B-,-11016.2515,5.6021,87,921967.779,4.1,87.921967779,4.1e-06,4.6632259304133516e-08,0.0,480.0
958,,2,45,43,88,Tc,x,-61670.301,4.099,8389.8338,0.0466,B-,-7331.0,300.0,87,933794.211,4.4,87.933794211,4.4e-06,5.003764524753767e-08,0.0,6.4
959,,0,44,44,88,Ru,x,-54340.0,300.0,8298.0,3.0,B-,-17479.0,500.0,87,941664.0,322.0,87.941664,0.00032199999999999997,3.661518162767536e-06,0.0,1.3
960,,-2,43,45,88,Rh,x,-36860.0,400.0,8090.0,5.0,B-,,,87,960429.0,429.0,87.960429,0.00042899999999999997,4.877193129651515e-06,0.0,0.0
961,0,25,57,32,89,Ge,x,-33040.0,400.0,8161.0,4.0,B-,13490.0,500.0,88,964530.0,429.0,88.96453,0.00042899999999999997,4.8221465341299505e-06,0.0,0.05
962,,23,56,33,89,As,x,-46530.0,300.0,8304.0,3.0,B-,12462.0,300.0,88,950048.0,322.0,88.950048,0.00032199999999999997,3.6200092888089278e-06,0.0,0.2
963,,21,55,34,89,Se,x,-58992.398,3.729,8435.2799,0.0419,B-,9281.873,4.951,88,936669.058,4.003,88.936669058,4.003e-06,4.500955615269833e-08,0.0,0.43
964,,19,54,35,89,Br,x,-68274.271,3.264,8530.7802,0.0367,B-,8261.5231,3.9045,88,926704.558,3.504,88.926704558,3.504e-06,3.940323682763497e-08,0.0,4.357
965,,17,53,36,89,Kr,x,-76535.795,2.142,8614.8158,0.0241,B-,5176.6042,5.8342,88,917835.449,2.3,88.917835449,2.2999999999999996e-06,2.5866576580344167e-08,0.0,189.0
966,,15,52,37,89,Rb,,-81712.399,5.427,8664.1895,0.061,B-,4496.6278,5.4265,88,912278.136,5.825,88.912278136,5.825e-06,6.551401136173899e-08,0.0,919.2
967,,13,51,38,89,Sr,,-86209.026,0.092,8705.923,0.0011,B-,1502.1757,0.351,88,907450.808,0.098,88.907450808,9.8e-08,1.1022698222631062e-09,0.0,4368643.2
968,,11,50,39,89,Y,,-87711.202,0.339,8714.011,0.0038,B-,-2833.2285,2.7652,88,905838.156,0.363,88.905838156,3.6299999999999995e-07,4.0829714620434305e-09,100.0,inf
969,,9,49,40,89,Zr,,-84877.974,2.78,8673.3865,0.0312,B-,-4252.2191,23.7199,88,908879.751,2.983,88.908879751,2.983e-06,3.355120442810943e-08,0.0,282276.0
970,,7,48,41,89,Nb,,-80625.755,23.63,8616.8184,0.2655,B-,-5610.8105,23.9513,88,913444.696,25.367,88.913444696,2.5367e-05,2.852999350855338e-07,0.0,7308.0
971,,5,47,42,89,Mo,x,-75014.944,3.912,8544.9851,0.044,B-,-7620.0875,5.4673,88,919468.149,4.2,88.919468149,4.2e-06,4.723375080204226e-08,0.0,126.6
972,,3,46,43,89,Tc,x,-67394.857,3.819,8450.5758,0.0429,B-,-9025.4327,24.5181,88,927648.649,4.1,88.927648649,4.1e-06,4.610489608448794e-08,0.0,12.8
973,,1,45,44,89,Ru,x,-58369.424,24.219,8340.376,0.2721,B-,-12719.0,361.0,88,937337.849,26.0,88.937337849,2.6e-05,2.9234065948930737e-07,0.0,1.5
974,,-1,44,45,89,Rh,-p,-45651.0,361.0,8189.0,4.0,B-,,,88,950992.0,387.0,88.950992,0.000387,4.350710332718942e-06,0.0,0.01
975,0,26,58,32,90,Ge,x,-28470.0,500.0,8109.0,6.0,B-,12520.0,640.0,89,969436.0,537.0,89.969436,0.0005369999999999999,5.9686936350251205e-06,0.0,0.05
976,,24,57,33,90,As,x,-40990.0,400.0,8240.0,4.0,B-,14810.0,518.0,89,955995.0,429.0,89.955995,0.00042899999999999997,4.768998441960427e-06,0.0,0.08
977,,22,56,34,90,Se,x,-55800.223,329.749,8395.7672,3.6639,B-,8200.0834,329.766,89,940096.0,354.0,89.940096,0.000354,3.935953103719169e-06,0.0,0.21
978,,20,55,35,90,Br,x,-64000.306,3.357,8478.1865,0.0373,B-,10958.9533,3.8396,89,931292.848,3.604,89.931292848,3.604e-06,4.007503824159857e-08,0.0,1.91
979,,18,54,36,90,Kr,x,-74959.259,1.863,8591.2599,0.0207,B-,4406.3133,6.7158,89,919527.929,2.0,89.919527929,2e-06,2.2242109651411757e-08,0.0,32.32
980,,16,53,37,90,Rb,,-79365.573,6.452,8631.5262,0.0717,B-,6585.3721,6.4806,89,914797.557,6.926,89.914797557,6.926e-06,7.702847793889963e-08,0.0,158.0
981,,14,52,38,90,Sr,,-85950.945,1.449,8696.0043,0.0161,B-,545.9674,1.406,89,907727.87,1.555,89.90772787,1.555e-06,1.7295509928227928e-08,0.0,908523899.54
982,,12,51,39,90,Y,,-86496.912,0.354,8693.3778,0.0039,B-,2275.635,0.3726,89,907141.749,0.379,89.907141749,3.79e-07,4.215460447603601e-09,0.0,230400.0
983,,10,50,40,90,Zr,,-88772.547,0.118,8709.9699,0.0013,B-,-6111.0165,3.3163,89,904698.755,0.126,89.904698755,1.26e-07,1.4014840352600878e-09,51.45,inf
984,,8,49,41,90,Nb,,-82661.531,3.317,8633.377,0.0369,B-,-2489.0165,3.3163,89,911259.201,3.561,89.911259201,3.561e-06,3.960571825647832e-08,0.0,52560.0
985,,6,48,42,90,Mo,,-80172.514,3.463,8597.0285,0.0385,B-,-9447.8181,3.611,89,913931.27,3.717,89.91393127,3.7169999999999997e-06,4.133953379080184e-08,0.0,20016.0
986,,4,47,43,90,Tc,x,-70724.696,1.025,8483.36,0.0114,B-,-5840.8951,3.8685,89,924073.919,1.1,89.924073919,1.1e-06,1.2232541877393545e-08,0.0,49.2
987,,2,46,44,90,Ru,,-64883.801,3.73,8409.7684,0.0414,B-,-13250.0,200.0,89,930344.378,4.004,89.930344378,4.003999999999999e-06,4.4523347794268124e-08,0.0,11.0
988,,0,45,45,90,Rh,-,-51634.0,200.0,8254.0,2.0,B-,-11924.0,447.0,89,944569.0,215.0,89.944569,0.000215,2.390361112297953e-06,0.0,0.015
989,,-2,44,46,90,Pd,x,-39710.0,400.0,8113.0,4.0,B-,,,89,957370.0,429.0,89.95737,0.00042899999999999997,4.7689255477344434e-06,0.0,0.0
990,0,25,58,33,91,As,x,-36500.0,400.0,8189.0,4.0,B-,14080.0,589.0,90,960816.0,429.0,90.960816,0.00042899999999999997,4.716316529086547e-06,0.0,0.05
991,,23,57,34,91,Se,x,-50580.13,433.145,8334.8382,4.7598,B-,10527.1716,433.1593,90,945700.0,465.0,90.9457,0.00046499999999999997,5.112941018651789e-06,0.0,0.27
992,,21,56,35,91,Br,-n2p,-61107.301,3.543,8441.9242,0.0389,B-,9866.6724,4.1898,90,934398.617,3.804,90.934398617,3.8039999999999995e-06,4.183235450890033e-08,0.0,0.543
993,,19,55,36,91,Kr,x,-70973.974,2.236,8541.7519,0.0246,B-,6771.0748,8.1153,90,923806.309,2.4,90.923806309,2.4e-06,2.639572733947939e-08,0.0,8.57
994,,17,54,37,91,Rb,,-77745.049,7.801,8607.5621,0.0857,B-,5906.901,8.8732,90,916537.261,8.375,90.916537261,8.375e-06,9.211745467117104e-08,0.0,58.2
995,,15,53,38,91,Sr,,-83651.95,5.453,8663.8759,0.0599,B-,2699.3714,5.2468,90,910195.942,5.853,90.910195942,5.853e-06,6.4382217410841e-08,0.0,34740.0
996,,13,52,39,91,Y,,-86351.321,1.843,8684.9421,0.0203,B-,1544.271,1.8403,90,907298.048,1.978,90.907298048,1.978e-06,2.175842910825042e-08,0.0,5055264.0
997,,11,51,40,91,Zr,,-87895.592,0.095,8693.3149,0.0011,B-,-1257.5644,2.9243,90,905640.205,0.101,90.905640205,1.01e-07,1.111042172655474e-09,11.22,inf
998,,9,50,41,91,Nb,,-86638.028,2.926,8670.8983,0.0322,B-,-4429.1934,6.7439,90,906990.256,3.14,90.906990256,3.14e-06,3.454079814057814e-08,0.0,21458709680.0
999,,7,49,42,91,Mo,,-82208.834,6.238,8613.6286,0.0686,B-,-6222.1768,6.6706,90,911745.19,6.696,90.91174519,6.695999999999999e-06,7.365384952192664e-08,0.0,929.4
1000,,5,48,43,91,Tc,,-75986.657,2.363,8536.6558,0.026,B-,-7746.8246,3.2422,90,918424.972,2.536,90.918424972,2.536e-06,2.7893136080843985e-08,0.0,188.4
1001,,3,47,44,91,Ru,,-68239.833,2.221,8442.9287,0.0244,B-,-9670.0,298.0,90,926741.53,2.384,90.92674153,2.384e-06,2.621890941966102e-08,0.0,8.0
1002,,1,46,45,91,Rh,x,-58570.0,298.0,8328.0,3.0,B-,-12400.0,300.0,90,937123.0,320.0,90.937123,0.00031999999999999997,3.5189149320239654e-06,0.0,1.6
1003,,-1,45,46,91,Pd,-,-46170.0,423.0,8183.0,5.0,B-,,,90,950435.0,454.0,90.950435,0.000454,4.991729836146468e-06,0.0,0.01
1004,0,26,59,33,92,As,x,-30380.0,500.0,8121.0,5.0,B-,16344.0,640.0,91,967386.0,537.0,91.967386,0.0005369999999999999,5.839026456618001e-06,0.0,0.03
1005,,24,58,34,92,Se,x,-46724.0,400.0,8290.0,4.0,B-,9509.0,400.0,91,949840.0,429.0,91.94984,0.00042899999999999997,4.665587237563437e-06,0.0,0.1
1006,,22,57,35,92,Br,x,-56232.812,6.709,8384.9123,0.0729,B-,12536.5161,7.2322,91,939631.595,7.202,91.939631595,7.202e-06,7.833400977421004e-08,0.0,0.314
1007,,20,56,36,92,Kr,x,-68769.329,2.701,8512.675,0.0294,B-,6003.121,6.6924,91,926173.092,2.9,91.926173092,2.8999999999999998e-06,3.1547054581481066e-08,0.0,1.84
1008,,18,55,37,92,Rb,,-74772.45,6.123,8569.4225,0.0666,B-,8094.9212,6.4187,91,919728.477,6.573,91.919728477,6.5730000000000004e-06,7.150804412618218e-08,0.0,4.48
1009,,16,54,38,92,Sr,,-82867.371,3.423,8648.907,0.0372,B-,1949.1237,9.3841,91,911038.222,3.675,91.911038222,3.6749999999999995e-06,3.998431604181732e-08,0.0,9399.6
1010,,14,53,39,92,Y,,-84816.494,9.127,8661.5894,0.0992,B-,3642.5294,9.1271,91,908945.752,9.798,91.908945752,9.798e-06,1.0660550961424546e-07,0.0,12744.0
1011,,12,52,40,92,Zr,,-88459.024,0.094,8692.6783,0.0011,B-,-2005.7335,1.7823,91,905035.336,0.101,91.905035336,1.01e-07,1.0989604609883374e-09,17.15,inf
1012,,10,51,41,92,Nb,,-86453.29,1.784,8662.3731,0.0194,B-,355.2968,1.7911,91,907188.58,1.915,91.90718858,1.915e-06,2.0836237399788386e-08,0.0,1095025332200000.0
1013,,8,50,42,92,Mo,,-86808.587,0.157,8657.7312,0.0017,B-,-7882.8841,3.1063,91,906807.153,0.168,91.906807153,1.68e-07,1.8279385956725206e-09,14.649,inf
1014,,6,49,43,92,Tc,,-78925.703,3.102,8563.544,0.0337,B-,-4624.4922,4.1246,91,915269.777,3.33,91.915269777,3.33e-06,3.6229018400088157e-08,0.0,255.0
