,cc,NZ,N,Z,A,el,o,mass,mass_err,binding,binding_err,B,beta,beta_err,u,atomic_mass,atomic_mass_err,umass,umass_err,precision,abundancy,halflife
276,,-5,16,21,37,Sc,x,3780.0,300.0,7525.0,8.0,B-,-21390.0,500.0,37,4058.0,322.0,37.004058,0.00032199999999999997,8.701748332574767e-06,0.0,0.0
277,,-7,15,22,37,Ti,x,25170.0,400.0,6926.0,11.0,B-,,,37,27021.0,429.0,37.027021,0.00042899999999999997,1.1586133272779357e-05,0.0,0.0
278,0,16,27,11,38,Na,-n,61905.0,715.0,6216.0,19.0,B-,27831.0,875.0,38,66458.0,768.0,38.066458,0.000768,2.0175241941343742e-05,0.0,0.0
279,,14,26,12,38,Mg,x,34074.0,503.0,6928.0,13.0,B-,17604.0,525.0,38,36580.0,540.0,38.03658,0.00054,1.41968599700604e-05,0.0,0.001
280,,12,25,13,38,Al,x,16470.0,150.0,7370.0,4.0,B-,20640.0,183.0,38,17681.0,161.0,38.017681,0.00016099999999999998,4.234871664055468e-06,0.0,0.009
281,,10,24,14,38,Si,x,-4170.299,104.793,7892.8297,2.7577,B-,10451.2656,127.4736,37,995523.0,112.5,37.995523,0.0001125,2.960875153633232e-06,0.0,0.09
282,,8,23,15,38,P,x,-14621.565,72.581,8147.2749,1.91,B-,12239.6512,72.934,37,984303.105,77.918,37.984303105,7.791800000000001e-05,2.0513210360767e-06,0.0,0.64
283,,6,22,16,38,S,+,-26861.216,7.172,8448.7829,0.1887,B-,2936.9,7.1714,37,971163.3,7.699,37.9711633,7.699e-06,2.027591290572865e-07,0.0,10218.0
284,,4,21,17,38,Cl,-n,-29798.116,0.098,8505.4817,0.0026,B-,4916.7109,0.2182,37,968010.408,0.105,37.968010408,1.0499999999999999e-07,2.7654859675732735e-09,0.0,2234.4
285,,2,20,18,38,Ar,,-34714.827,0.195,8614.2807,0.0051,B-,-5914.0671,0.0448,37,962732.102,0.209,37.962732102,2.0899999999999998e-07,5.5053993331788995e-09,0.063,inf
286,,0,19,19,38,K,,-28800.76,0.195,8438.0593,0.0051,B-,-6742.2563,0.0626,37,969081.114,0.209,37.969081114,2.0899999999999998e-07,5.504478746074718e-09,0.0,458.16
287,,-2,18,20,38,Ca,,-22058.503,0.194,8240.0434,0.0051,B-,-17809.0,200.0,37,976319.223,0.208,37.976319223,2.0799999999999998e-07,5.477097419015447e-09,0.0,0.4437
288,,-4,17,21,38,Sc,x,-4249.0,200.0,7751.0,5.0,B-,-15619.0,361.0,37,995438.0,215.0,37.995438,0.000215,5.6585740635494186e-06,0.0,0.0
289,,-6,16,22,38,Ti,x,11370.0,300.0,7319.0,8.0,B-,,,38,12206.0,322.0,38.012206,0.00032199999999999997,8.470963247963035e-06,0.0,0.0
290,0,17,28,11,39,Na,-n,69977.0,743.0,6056.0,19.0,B-,27201.0,903.0,39,75123.0,797.0,39.075123,0.000797,2.0396608860322717e-05,0.0,0.0
291,,15,27,12,39,Mg,-n,42775.0,513.0,6734.0,13.0,B-,21286.0,594.0,39,45921.0,551.0,39.045921,0.000551,1.4111589274587733e-05,0.0,0.0
292,,13,26,13,39,Al,x,21490.0,300.0,7260.0,8.0,B-,19169.0,329.0,39,23070.0,322.0,39.02307,0.00032199999999999997,8.251529159545879e-06,0.0,0.0076
293,,11,25,14,39,Si,x,2320.352,135.532,7730.9793,3.4752,B-,15094.9874,176.2324,39,2491.0,145.5,39.002491,0.00014549999999999999,3.730530955061306e-06,0.0,0.0475
294,,9,24,15,39,P,x,-12774.636,112.645,8097.9701,2.8883,B-,10388.0361,123.243,38,986285.865,120.929,38.986285865,0.000120929,3.101834332686823e-06,0.0,0.282
295,,7,23,16,39,S,2p-n,-23162.672,50.0,8344.2698,1.2821,B-,6637.5463,50.03,38,975133.85,53.677,38.97513385,5.3676999999999994e-05,1.377211434515702e-06,0.0,11.5
296,,5,22,17,39,Cl,-nn,-29800.218,1.732,8494.4032,0.0444,B-,3441.9774,5.2915,38,968008.151,1.859,38.968008151,1.859e-06,4.770579991659887e-08,0.0,3372.0
297,,3,21,18,39,Ar,+,-33242.195,5.0,8562.5988,0.1282,B-,565.0,5.0,38,964313.037,5.367,38.964313037,5.367e-06,1.3774142495220095e-07,0.0,8488813094.0
298,,1,20,19,39,K,,-33807.19535,0.00456,8557.0258,0.0003,B-,-6524.4888,0.5962,38,963706.48482,0.00489,38.96370648482,4.89e-09,1.255014073649567e-10,93.258,inf
299,,-1,19,20,39,Ca,,-27282.707,0.596,8369.6711,0.0153,B-,-13109.9804,24.0074,38,970710.811,0.64,38.970710811,6.4e-07,1.6422589854823783e-08,0.0,0.8603
300,,-3,18,21,39,Sc,2n-p,-14172.726,24.0,8013.4575,0.6154,B-,-16673.0,202.0,38,984784.953,25.765,38.984784953,2.5764999999999998e-05,6.608988617241891e-07,0.0,3e-07
